task_id,employee_id,department,task_category,priority,assigned_date,deadline,completion_date,completed,deadline_met,hours_estimated,hours_actual,efficiency_score,satisfaction_rating
TASK00060,EMP0134,Sales,Bug Fix,Medium,2025-09-08,2025-09-15,2025-09-19,True,False,20,13.5,79.0,3.0
TASK00061,EMP0049,Sales,Feature Dev,Low,2025-08-21,2025-08-31,2025-09-03,True,False,7,8.1,83.3,2.0
TASK00062,EMP0099,Finance,Documentation,Medium,2025-12-20,2025-12-27,2025-12-31,True,False,21,34.0,77.5,3.0
TASK00063,EMP0082,Sales,Testing,High,2025-09-20,2025-09-22,2025-09-21,True,True,35,44.3,100.0,3.0
TASK00064,EMP0016,Finance,Meeting,High,2026-03-06,2026-03-20,2026-03-20,True,True,17,11.1,86.8,2.0
TASK00065,EMP0144,Support,Report,Low,2025-12-26,2025-12-29,2025-12-28,True,True,13,25.1,69.2,4.0
TASK00066,EMP0083,Support,Feature Dev,High,2025-10-22,2025-11-04,2025-11-07,True,False,22,16.0,87.4,4.0
TASK00067,EMP0153,Support,Meeting,Medium,2026-04-09,2026-04-14,2026-04-12,True,True,24,30.3,96.8,4.0
TASK00068,EMP0094,Finance,Feature Dev,Medium,2026-03-20,2026-03-21,2026-03-23,True,False,6,8.8,88.6,5.0
TASK00069,EMP0091,HR,Documentation,Medium,2026-03-13,2026-03-20,2026-03-18,True,True,30,55.9,66.9,3.0
TASK00070,EMP0136,Finance,Testing,Medium,2025-05-26,2025-06-04,2025-06-02,True,True,30,19.7,80.8,1.0
TASK00071,EMP0055,Marketing,Code Review,Medium,2026-04-04,2026-04-07,2026-04-12,True,False,30,38.6,83.2,3.0
TASK00072,EMP0126,Marketing,Testing,Medium,2025-10-05,2025-10-10,2025-10-13,True,False,40,23.1,76.9,1.0
TASK00073,EMP0111,Sales,Code Review,Medium,2025-04-28,2025-05-07,2025-05-09,True,False,18,28.5,82.4,3.0
TASK00074,EMP0104,Engineering,Client Call,Low,2026-04-05,2026-04-16,2026-04-19,True,False,21,41.0,70.7,2.0
TASK00075,EMP0027,HR,Training,Medium,2025-12-15,2025-12-17,2025-12-21,True,False,23,39.6,96.6,1.0
TASK00076,EMP0063,Finance,Documentation,Medium,2026-01-20,2026-01-27,2026-01-25,True,True,25,24.1,76.5,3.0
TASK00077,EMP0055,Marketing,Feature Dev,Critical,2026-01-24,2026-02-01,2026-02-01,True,True,11,6.8,87.3,5.0
TASK00078,EMP0171,Finance,Code Review,High,2025-09-09,2025-09-23,2025-09-21,True,True,23,41.7,75.7,5.0
TASK00079,EMP0133,Sales,Testing,Medium,2025-07-04,2025-07-07,2025-07-07,True,True,30,17.0,84.1,2.0
TASK00080,EMP0051,Finance,Meeting,Critical,2026-03-23,2026-04-02,2026-04-07,True,False,16,20.8,93.2,4.0
TASK00081,EMP0020,Finance,Client Call,Critical,2026-03-01,2026-03-05,2026-03-10,True,False,31,51.3,66.6,5.0
TASK00082,EMP0099,Finance,Report,Medium,2025-07-06,2025-07-09,2025-07-09,True,True,18,10.4,99.1,3.0
TASK00083,EMP0016,Finance,Code Review,Medium,2026-04-12,2026-04-14,2026-04-13,True,True,20,12.5,64.6,3.0
TASK00084,EMP0054,Engineering,Documentation,Medium,2025-08-24,2025-09-02,2025-09-06,True,False,7,13.4,73.6,4.0
TASK00085,EMP0092,Finance,Client Call,High,2025-05-26,2025-05-27,2025-05-31,True,False,34,36.1,75.7,1.0
TASK00086,EMP0089,Engineering,Code Review,Medium,2025-09-17,2025-09-18,2025-09-18,True,True,23,38.8,55.9,1.0
TASK00087,EMP0058,Engineering,Bug Fix,Low,2025-11-04,2025-11-18,2025-11-18,True,True,32,37.5,95.4,1.0
TASK00088,EMP0066,Engineering,Training,Low,2025-05-21,2025-05-25,,False,False,37,,,
TASK00089,EMP0086,HR,Client Call,Medium,2026-03-18,2026-03-31,2026-04-02,True,False,9,5.1,63.1,5.0
TASK00090,EMP0137,HR,Training,Medium,2026-02-18,2026-02-20,2026-02-25,True,False,40,52.2,73.0,5.0
TASK00091,EMP0198,Support,Client Call,Low,2025-07-10,2025-07-13,2025-07-11,True,True,24,20.7,71.1,2.0
TASK00092,EMP0116,Support,Training,Medium,2025-11-16,2025-11-18,2025-11-21,True,False,6,11.6,80.6,5.0
TASK00093,EMP0162,Sales,Client Call,High,2025-08-13,2025-08-22,2025-08-26,True,False,32,18.1,66.5,3.0
TASK00094,EMP0005,Support,Feature Dev,Low,2025-12-11,2025-12-12,2025-12-12,True,True,24,20.7,74.8,5.0
TASK00095,EMP0018,Support,Code Review,High,2025-11-09,2025-11-15,2025-11-18,True,False,36,36.3,84.8,4.0
TASK00096,EMP0011,Finance,Report,Critical,2026-01-01,2026-01-09,2026-01-09,True,True,6,9.4,92.5,1.0
TASK00097,EMP0184,Engineering,Training,Low,2026-01-10,2026-01-11,2026-01-11,True,True,22,41.8,76.1,4.0
TASK00098,EMP0027,HR,Bug Fix,Critical,2025-07-29,2025-08-07,2025-08-05,True,True,14,13.0,57.3,3.0
TASK00099,EMP0118,Support,Client Call,Low,2025-05-11,2025-05-24,2025-05-28,True,False,30,55.3,79.3,3.0
TASK00100,EMP0045,Finance,Feature Dev,Critical,2025-06-01,2025-06-09,2025-06-12,True,False,35,31.5,91.6,4.0
TASK00101,EMP0165,Engineering,Training,Low,2025-05-28,2025-06-07,,False,False,13,,,
TASK00102,EMP0124,Engineering,Client Call,Low,2025-12-03,2025-12-05,2025-12-07,True,False,21,24.5,86.0,2.0
TASK00103,EMP0027,HR,Bug Fix,Medium,2025-08-30,2025-09-05,2025-09-08,True,False,29,26.4,75.7,1.0
TASK00104,EMP0162,Sales,Report,Medium,2026-02-01,2026-02-08,2026-02-08,True,True,3,2.1,70.8,1.0
TASK00105,EMP0114,HR,Bug Fix,Low,2025-09-28,2025-10-02,2025-10-05,True,False,25,26.9,82.2,5.0
TASK00106,EMP0065,HR,Report,Low,2025-05-08,2025-05-16,,False,False,25,,,
TASK00107,EMP0195,Finance,Meeting,High,2025-10-07,2025-10-17,2025-10-20,True,False,27,26.2,74.3,2.0
TASK00108,EMP0026,Engineering,Training,Critical,2025-08-17,2025-08-18,2025-08-23,True,False,35,37.8,74.5,1.0
TASK00109,EMP0007,Support,Report,Low,2025-12-30,2026-01-04,2026-01-05,True,False,20,30.8,91.4,2.0
TASK00110,EMP0041,Finance,Testing,Low,2025-11-05,2025-11-19,2025-11-19,True,True,30,59.9,90.2,3.0
TASK00111,EMP0197,Support,Code Review,High,2025-08-28,2025-09-06,2025-09-08,True,False,12,18.8,80.8,3.0
TASK00112,EMP0185,Engineering,Documentation,Medium,2026-03-31,2026-04-02,,False,False,10,,,
TASK00113,EMP0029,HR,Training,High,2026-01-29,2026-01-30,2026-02-02,True,False,31,52.9,84.9,2.0
TASK00114,EMP0090,Finance,Client Call,Medium,2025-07-24,2025-07-26,2025-07-30,True,False,32,41.2,99.8,5.0
TASK00115,EMP0061,Engineering,Testing,Low,2026-03-29,2026-04-04,2026-04-09,True,False,31,47.1,77.3,2.0
TASK00116,EMP0121,Finance,Bug Fix,High,2025-11-02,2025-11-15,2025-11-15,True,True,10,11.5,88.5,1.0
TASK00117,EMP0069,Finance,Training,Medium,2025-09-07,2025-09-12,2025-09-15,True,False,16,16.3,84.7,3.0
TASK00118,EMP0067,Sales,Training,High,2025-07-19,2025-07-24,2025-07-26,True,False,10,14.4,89.7,1.0
TASK00119,EMP0009,HR,Testing,Medium,2025-11-24,2025-11-27,2025-11-27,True,True,12,17.9,92.7,5.0
TASK00120,EMP0068,HR,Documentation,Low,2025-09-13,2025-09-27,2025-09-25,True,True,38,34.1,81.8,5.0
TASK00121,EMP0045,Finance,Client Call,Medium,2025-06-10,2025-06-21,2025-06-23,True,False,21,25.7,85.1,3.0
TASK00122,EMP0112,HR,Documentation,Medium,2025-06-20,2025-07-02,2025-07-07,True,False,28,34.3,74.2,3.0
TASK00123,EMP0197,Support,Code Review,Medium,2025-05-28,2025-06-03,2025-06-06,True,False,24,47.1,75.4,3.0
TASK00124,EMP0044,Support,Documentation,Medium,2025-06-02,2025-06-04,2025-06-09,True,False,9,8.1,78.1,2.0
TASK00125,EMP0174,HR,Documentation,Low,2026-03-08,2026-03-13,,False,False,28,,,
TASK00126,EMP0199,Marketing,Report,Critical,2025-12-16,2025-12-19,2025-12-22,True,False,14,23.0,66.3,5.0
TASK00127,EMP0191,Support,Documentation,Medium,2025-06-14,2025-06-19,2025-06-18,True,True,27,34.0,73.3,2.0
TASK00128,EMP0185,Engineering,Report,Medium,2025-07-27,2025-07-28,2025-08-02,True,False,40,72.9,53.0,3.0
TASK00129,EMP0193,Marketing,Client Call,Medium,2025-11-20,2025-12-04,2025-12-04,True,True,18,28.6,89.5,3.0
TASK00130,EMP0016,Finance,Feature Dev,Low,2026-04-12,2026-04-13,2026-04-14,True,False,25,33.2,84.2,4.0
TASK00131,EMP0053,Sales,Client Call,Medium,2025-06-03,2025-06-16,2025-06-15,True,True,10,19.6,79.5,3.0
TASK00132,EMP0191,Support,Training,High,2025-05-01,2025-05-07,2025-05-10,True,False,11,8.8,82.7,4.0
TASK00133,EMP0157,HR,Code Review,Medium,2025-11-17,2025-11-18,2025-11-21,True,False,32,40.9,83.1,5.0
TASK00134,EMP0045,Finance,Meeting,High,2025-12-28,2025-12-31,2026-01-03,True,False,12,13.1,93.0,5.0
TASK00135,EMP0093,HR,Bug Fix,Medium,2025-06-18,2025-07-02,2025-07-07,True,False,38,36.1,77.6,3.0
TASK00136,EMP0028,Support,Meeting,Medium,2026-03-24,2026-03-26,,False,False,39,,,
TASK00137,EMP0153,Support,Documentation,High,2025-10-20,2025-11-01,2025-10-30,True,True,40,48.5,89.2,1.0
TASK00138,EMP0124,Engineering,Documentation,Medium,2025-10-07,2025-10-10,2025-10-14,True,False,11,19.1,86.3,1.0
TASK00139,EMP0088,Support,Code Review,Medium,2025-09-08,2025-09-20,2025-09-18,True,True,30,29.1,82.4,4.0
TASK00140,EMP0051,Finance,Training,Medium,2025-05-08,2025-05-15,2025-05-20,True,False,5,7.8,83.7,2.0
TASK00141,EMP0004,Sales,Report,Medium,2026-01-18,2026-01-29,2026-02-02,True,False,22,42.6,84.5,5.0
TASK00142,EMP0078,Engineering,Documentation,Medium,2025-12-21,2025-12-27,2025-12-29,True,False,32,25.2,79.9,3.0
TASK00143,EMP0160,Sales,Meeting,Medium,2026-02-16,2026-02-20,,False,False,21,,,
TASK00144,EMP0148,Finance,Meeting,High,2025-10-05,2025-10-17,2025-10-20,True,False,32,32.7,77.0,3.0
TASK00145,EMP0011,Finance,Code Review,Low,2025-09-08,2025-09-19,2025-09-23,True,False,24,46.4,71.9,3.0
TASK00146,EMP0197,Support,Documentation,Low,2026-02-10,2026-02-22,2026-02-27,True,False,18,29.2,71.9,2.0
TASK00147,EMP0185,Engineering,Code Review,High,2025-11-21,2025-11-26,,False,False,19,,,
TASK00148,EMP0193,Marketing,Training,Low,2026-03-28,2026-04-09,2026-04-10,True,False,5,7.5,82.9,2.0
TASK00149,EMP0107,Support,Code Review,Medium,2025-05-01,2025-05-02,2025-05-05,True,False,32,20.8,98.9,1.0
TASK00150,EMP0070,Support,Meeting,Critical,2026-03-11,2026-03-14,2026-03-19,True,False,32,47.2,84.5,3.0
TASK00151,EMP0012,Finance,Documentation,Low,2026-03-05,2026-03-06,,False,False,7,,,
TASK00152,EMP0165,Engineering,Code Review,Medium,2025-07-18,2025-07-30,,False,False,4,,,
TASK00153,EMP0177,HR,Code Review,Medium,2026-04-01,2026-04-15,2026-04-13,True,True,27,45.4,75.7,3.0
TASK00154,EMP0076,Sales,Training,High,2026-01-23,2026-01-24,2026-01-24,True,True,23,21.3,89.6,5.0
TASK00155,EMP0034,HR,Feature Dev,Medium,2025-10-17,2025-10-20,2025-10-25,True,False,19,15.0,89.9,3.0
TASK00156,EMP0091,HR,Meeting,Low,2025-07-23,2025-07-31,2025-07-31,True,True,2,3.2,70.0,5.0
TASK00157,EMP0112,HR,Feature Dev,Medium,2025-05-12,2025-05-16,2025-05-20,True,False,29,36.9,85.7,4.0
TASK00158,EMP0041,Finance,Testing,Medium,2025-05-29,2025-06-01,,False,False,32,,,
TASK00159,EMP0100,HR,Testing,Critical,2026-01-31,2026-02-01,2026-02-02,True,False,30,48.9,89.8,3.0
TASK00160,EMP0055,Marketing,Feature Dev,Medium,2026-03-14,2026-03-24,2026-03-27,True,False,17,10.1,100.0,4.0
TASK00161,EMP0119,Marketing,Meeting,Medium,2025-08-28,2025-09-04,2025-09-06,True,False,9,13.1,85.6,3.0
TASK00162,EMP0101,Support,Code Review,Medium,2025-10-28,2025-11-01,,False,False,32,,,
TASK00163,EMP0180,Sales,Documentation,Medium,2025-11-27,2025-12-07,2025-12-12,True,False,36,61.3,82.7,2.0
TASK00164,EMP0085,Engineering,Training,Medium,2025-07-28,2025-08-07,,False,False,7,,,
TASK00165,EMP0029,HR,Training,Medium,2025-05-24,2025-06-05,2025-06-04,True,True,5,8.7,85.8,2.0
TASK00166,EMP0136,Finance,Report,Medium,2026-03-29,2026-04-01,2026-04-06,True,False,9,13.7,79.9,1.0
TASK00167,EMP0195,Finance,Report,High,2025-05-14,2025-05-22,2025-05-27,True,False,10,12.7,74.5,5.0
TASK00168,EMP0116,Support,Bug Fix,Low,2026-04-03,2026-04-11,2026-04-13,True,False,3,3.3,72.6,2.0
TASK00169,EMP0100,HR,Feature Dev,Medium,2025-05-15,2025-05-16,2025-05-16,True,True,36,71.7,83.6,4.0
TASK00170,EMP0099,Finance,Client Call,Low,2025-06-01,2025-06-08,2025-06-08,True,True,28,29.7,81.8,4.0
TASK00171,EMP0096,HR,Training,High,2025-09-26,2025-10-03,2025-10-03,True,True,24,16.3,78.3,4.0
TASK00172,EMP0029,HR,Bug Fix,Medium,2026-03-11,2026-03-23,,False,False,2,,,
TASK00173,EMP0049,Sales,Documentation,Critical,2026-01-05,2026-01-13,2026-01-17,True,False,36,38.5,87.1,2.0
TASK00174,EMP0094,Finance,Client Call,Medium,2026-03-03,2026-03-06,2026-03-05,True,True,4,6.9,83.9,5.0
TASK00175,EMP0198,Support,Report,High,2025-08-31,2025-09-01,2025-09-01,True,True,8,11.1,95.6,5.0
TASK00176,EMP0010,Finance,Training,Medium,2025-09-17,2025-10-01,2025-09-29,True,True,27,31.3,97.1,2.0
TASK00177,EMP0115,Marketing,Testing,High,2026-03-19,2026-04-01,2026-04-03,True,False,16,27.6,63.8,5.0
TASK00178,EMP0073,Support,Training,Medium,2025-09-25,2025-10-06,2025-10-07,True,False,21,38.1,87.0,2.0
TASK00179,EMP0052,Engineering,Bug Fix,Medium,2025-12-27,2026-01-01,2026-01-01,True,True,29,38.7,74.7,3.0
TASK00180,EMP0177,HR,Meeting,Critical,2025-09-28,2025-10-09,2025-10-12,True,False,28,31.1,85.2,4.0
TASK00181,EMP0046,Sales,Code Review,Low,2025-05-25,2025-06-03,2025-06-04,True,False,21,37.5,100.0,4.0
TASK00182,EMP0109,Sales,Client Call,Critical,2026-02-02,2026-02-11,2026-02-15,True,False,37,47.9,86.0,2.0
TASK00183,EMP0078,Engineering,Documentation,Low,2026-02-21,2026-02-27,2026-03-04,True,False,25,16.0,72.3,1.0
TASK00184,EMP0143,Marketing,Training,Low,2026-03-05,2026-03-16,2026-03-14,True,True,6,4.7,78.5,2.0
TASK00185,EMP0193,Marketing,Bug Fix,Medium,2025-09-04,2025-09-18,,False,False,21,,,
TASK00186,EMP0016,Finance,Report,Low,2025-04-23,2025-04-27,,False,False,9,,,
TASK00187,EMP0174,HR,Training,Critical,2026-03-14,2026-03-26,2026-03-27,True,False,27,50.6,66.6,3.0
TASK00188,EMP0161,Finance,Training,High,2025-04-30,2025-05-07,2025-05-10,True,False,21,18.7,92.5,4.0
TASK00189,EMP0151,Engineering,Testing,Medium,2026-01-25,2026-02-07,,False,False,32,,,
TASK00190,EMP0057,Support,Code Review,Critical,2026-04-06,2026-04-12,2026-04-10,True,True,38,68.3,94.1,1.0
TASK00191,EMP0092,Finance,Testing,Low,2025-12-19,2025-12-29,2026-01-02,True,False,20,14.6,74.7,2.0
TASK00192,EMP0106,Engineering,Report,Medium,2025-10-02,2025-10-16,2025-10-19,True,False,18,29.6,81.0,4.0
TASK00193,EMP0106,Engineering,Report,Medium,2025-10-26,2025-11-07,2025-11-07,True,True,10,15.8,85.4,2.0
TASK00194,EMP0025,Support,Training,Critical,2026-04-09,2026-04-18,,False,False,5,,,
TASK00195,EMP0029,HR,Documentation,Low,2026-01-25,2026-02-08,2026-02-06,True,True,2,2.2,78.5,1.0
TASK00196,EMP0110,Engineering,Report,High,2025-08-07,2025-08-08,2025-08-13,True,False,25,14.8,79.4,4.0
TASK00197,EMP0109,Sales,Meeting,Low,2026-04-14,2026-04-23,2026-04-21,True,True,3,3.9,81.0,5.0
TASK00198,EMP0073,Support,Feature Dev,Critical,2025-10-25,2025-10-26,2025-10-30,True,False,13,8.6,71.0,5.0
TASK00199,EMP0127,Support,Client Call,Low,2026-04-08,2026-04-12,2026-04-14,True,False,24,21.6,85.1,1.0
TASK00200,EMP0196,HR,Feature Dev,Medium,2025-12-30,2026-01-06,2026-01-07,True,False,16,15.2,87.0,1.0
TASK00201,EMP0176,Support,Code Review,Low,2026-01-07,2026-01-14,2026-01-19,True,False,5,7.3,72.6,1.0
TASK00202,EMP0042,Engineering,Feature Dev,Medium,2025-09-25,2025-10-02,2025-10-05,True,False,38,74.7,81.1,5.0
TASK00203,EMP0122,Marketing,Feature Dev,Critical,2025-06-21,2025-06-25,2025-06-30,True,False,19,10.8,78.4,3.0
TASK00204,EMP0071,Engineering,Documentation,High,2026-02-17,2026-02-27,2026-02-27,True,True,22,11.5,81.0,5.0
TASK00205,EMP0043,Engineering,Documentation,Low,2025-09-05,2025-09-19,2025-09-23,True,False,6,5.7,93.1,5.0
TASK00206,EMP0012,Finance,Code Review,High,2026-02-21,2026-02-28,2026-03-03,True,False,26,42.5,82.9,1.0
TASK00207,EMP0049,Sales,Testing,Medium,2025-05-08,2025-05-14,2025-05-18,True,False,16,28.1,74.7,5.0
TASK00208,EMP0099,Finance,Report,High,2025-07-12,2025-07-22,2025-07-25,True,False,3,4.4,89.8,4.0
TASK00209,EMP0084,HR,Code Review,Low,2025-11-20,2025-11-29,,False,False,29,,,
TASK00210,EMP0013,HR,Feature Dev,Medium,2025-07-24,2025-08-04,2025-08-06,True,False,17,26.7,91.4,3.0
TASK00211,EMP0139,Finance,Feature Dev,Low,2025-05-22,2025-06-03,2025-06-03,True,True,26,25.4,79.6,1.0
TASK00212,EMP0080,Sales,Code Review,Low,2025-10-06,2025-10-11,2025-10-13,True,False,8,5.6,88.4,4.0
TASK00213,EMP0150,HR,Training,Medium,2026-03-25,2026-04-03,2026-04-02,True,True,3,1.9,74.7,1.0
TASK00214,EMP0112,HR,Client Call,Medium,2025-05-30,2025-06-12,2025-06-16,True,False,2,1.9,88.6,1.0
TASK00215,EMP0099,Finance,Training,High,2025-12-01,2025-12-10,,False,False,17,,,
TASK00216,EMP0064,Sales,Code Review,Low,2026-03-22,2026-03-29,2026-03-31,True,False,21,19.0,83.6,1.0
TASK00217,EMP0017,Marketing,Documentation,Low,2025-12-01,2025-12-06,2025-12-11,True,False,6,6.3,80.3,4.0
TASK00218,EMP0180,Sales,Client Call,Medium,2026-01-14,2026-01-18,2026-01-18,True,True,21,10.7,73.7,3.0
TASK00219,EMP0191,Support,Code Review,High,2025-09-08,2025-09-15,2025-09-18,True,False,30,30.1,69.6,3.0
TASK00220,EMP0047,Marketing,Testing,Medium,2025-07-08,2025-07-20,2025-07-23,True,False,13,25.3,69.4,3.0
TASK00221,EMP0072,HR,Client Call,High,2026-03-23,2026-04-03,2026-04-04,True,False,22,23.4,77.6,3.0
TASK00222,EMP0111,Sales,Report,Low,2025-11-18,2025-11-28,2025-11-28,True,True,37,20.0,100.0,2.0
TASK00223,EMP0135,Sales,Code Review,Medium,2026-02-14,2026-02-19,2026-02-18,True,True,28,42.3,78.1,3.0
TASK00224,EMP0044,Support,Report,Low,2025-11-09,2025-11-20,2025-11-24,True,False,26,15.9,87.9,5.0
TASK00225,EMP0062,Finance,Training,Medium,2025-04-16,2025-04-25,,False,False,28,,,
TASK00226,EMP0040,Engineering,Testing,Low,2026-02-07,2026-02-13,2026-02-12,True,True,8,13.2,84.3,2.0
